Time (HH:mm:ss),Time (GPS ns),UTC offset (s),Time from start of file (s),Latitude (deg),Longitude (deg),Altitude (m),Velocity north (m/s),Velocity east (m/s),Velocity down (m/s),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²),Heading (deg),Pitch (deg),Roll (deg),Velocity up (m/s)
20:44:17,1302122675201000000,-18,408.204000000,37.4279527472541,-122.183071245284,8.05232048034668,-0.0084,-0.0027,-0.0048,-0.0306,0.7037,-12.9737,27.0658386926259,-0.165011844997677,-0.3210282526118,0.0048
20:44:18,1302122676201000000,-18,409.204000000,37.4279526782002,-122.183071263992,8.05819988250732,-0.0038,-0.0012,-0.0069,-0.0116,-1.7097,-8.9995,27.0702504676484,-0.162261647581049,-0.320913661052774,0.0069
20:44:19,1302122677201000000,-18,410.204000000,37.4279526987032,-122.183071241158,8.05046844482422,0.0046,0.0014,0.0024,-0.0347,1.4583,-12.1095,27.0805637079608,-0.160198999518578,-0.321486618847905,-0.0024
20:44:20,1302122678201000000,-18,411.204000000,37.4279527407521,-122.183071192316,8.03922748565674,0.0105,0,0.0018,-0.0518,2.2186,-12.8415,27.09242393432,-0.149484688749632,-0.319423970785434,-0.0018
20:44:21,1302122679201000000,-18,412.204000000,37.4279527849622,-122.183071144933,8.0391788482666,0.0086,-0.0017,0.0014,-0.0418,1.741,-13.9815,27.0933979625717,-0.141234096499748,-0.31117337853555,-0.0014
20:44:22,1302122680201000000,-18,413.204000000,37.4279526844205,-122.183071121921,8.04978847503662,-0.002,0.0065,-0.002,0.0033,-0.78,-7.146,27.0854911449989,-0.141119504940722,-0.311631744771655,0.002
20:44:23,1302122681201000000,-18,414.204000000,37.4279526303125,-122.183071112826,8.06096839904785,0.0041,-0.0054,-0.002,-0.0351,2.5083,-13.6555,27.0785583556778,-0.136077476343571,-0.312834956141429,0.002
20:44:24,1302122682201000000,-18,415.204000000,37.4279526722882,-122.18307108854,8.05868244171143,-0.0004,0.0016,-0.005,-0.0031,-4.5833,-10.8616,27.0758081582612,-0.147020970230569,-0.314439237967796,0.005
20:44:25,1302122683201000000,-18,416.204000000,37.4279527678846,-122.183071078768,8.05042266845703,0.0044,-0.002,-0.0032,-0.0418,0.3104,-17.068,27.087840271959,-0.155271562480453,-0.316788364927832,0.0032
20:44:26,1302122684201000000,-18,417.204000000,37.4279528316686,-122.183071077697,8.05057430267334,0.0107,-0.0032,0.0071,-0.0468,-0.1611,-6.3434,27.0994713152001,-0.161688689785918,-0.318106167856633,-0.0071
20:44:27,1302122685201000000,-18,418.204000000,37.4279527697913,-122.183071135265,8.05660533905029,0.0089,-0.0038,0.0054,-0.0242,1.0063,-9.0407,27.1081229779066,-0.15297973129993,-0.31432464640877,-0.0054
20:44:28,1302122686201000000,-18,419.204000000,37.4279527999011,-122.183071171494,8.05691528320313,0.0058,-0.0061,-0.0039,-0.0562,3.7681,-10.559,27.107607315891,-0.150344125442328,-0.314668421085848,0.0039
20:44:29,1302122687201000000,-18,420.204000000,37.4279528636297,-122.183071201194,8.05171585083008,0.0003,-0.0042,-0.0034,-0.0415,1.1503,-7.4386,27.1070916538753,-0.153839167992626,-0.317361322722963,0.0034
20:44:30,1302122688201000000,-18,421.204000000,37.4279528469461,-122.183071213006,8.05063438415527,0,-0.0085,0.0002,-0.0777,3.7562,-13.0252,27.1062895129622,-0.159167675487343,-0.320111520139591,-0.0002
20:44:31,1302122689201000000,-18,422.204000000,37.4279527589107,-122.183071179947,8.05524444580078,-0.0044,-0.0005,0.0005,-0.0405,1.713,-3.9375,27.1132795980628,-0.156818548527306,-0.317361322722963,-0.0005
20:44:32,1302122690201000000,-18,423.204000000,37.4279527433067,-122.18307114619,8.05263805389404,-0.0071,0.0044,-0.0084,-0.0325,0.6163,-14.179,27.1225042185644,-0.157849872558542,-0.316444590250754,0.0084
20:44:33,1302122691201000000,-18,424.204000000,37.4279528034388,-122.183071155042,8.04556179046631,-0.0026,0.0012,0.0089,-0.0134,2.0348,-7.7982,27.1544179677532,-0.164782661879625,-0.317991576297607,-0.0089
20:44:34,1302122692201000000,-18,425.204000000,37.4279528214047,-122.183071162636,8.04435539245605,0.0015,-0.0027,-0.0013,-0.016,-2.8436,-6.0166,27.1926915484679,-0.161058436211274,-0.3148976042039,0.0013
20:44:35,1302122693201000000,-18,426.204000000,37.4279527301142,-122.183071142513,8.0536060333252,0.0006,-0.0035,0.0029,-0.0161,-1.2891,-11.8339,27.2323402278909,-0.152693252402364,-0.311116082756037,-0.0029
20:44:36,1302122694201000000,-18,427.204000000,37.4279526670311,-122.183071123617,8.05867576599121,-0.0009,-0.0027,0.0061,-0.0298,1.2521,-8.8006,27.267519836512,-0.148567956277422,-0.31191822366922,-0.0061
20:44:37,1302122695201000000,-18,428.204000000,37.4279526884628,-122.183071170511,8.05466270446777,-0.0042,0.0105,-0.0046,-0.0438,2.8123,-6.5725,27.2876306551211,-0.148052294261805,-0.316731069148319,0.0046
20:44:38,1302122696201000000,-18,429.204000000,37.4279527320026,-122.183071221074,8.05170822143555,-0.0012,0.0053,-0.0131,-0.0255,0.7338,-16.544,27.3024129662354,-0.146448012435438,-0.321372027288879,0.0131
20:44:39,1302122697201000000,-18,430.204000000,37.4279527456586,-122.183071258504,8.05517959594727,0.0014,0.0033,-0.0036,-0.0523,4.4314,-6.7757,27.300579501291,-0.146390716655925,-0.322861717556219,0.0036
20:44:40,1302122698201000000,-18,431.204000000,37.4279527321734,-122.18307127357,8.05832862854004,0.0011,0.0049,-0.0038,-0.0017,-2.934,-13.015,27.2864847395308,-0.145760463081281,-0.325898393870412,0.0038
20:44:41,1302122699201000000,-18,432.204000000,37.4279527127305,-122.183071265886,8.05754661560059,0.0073,0.0001,-0.0011,-0.01,-2.4211,-8.5699,27.2887192749318,-0.139916293570947,-0.327731858814831,0.0011
20:44:42,1302122700201000000,-18,433.204000000,37.427952741149,-122.183071248759,8.05467224121094,0.0056,0.0074,0.0059,-0.0226,-0.6976,-11.2026,27.2900943736401,-0.135790997446005,-0.326585943224569,-0.0059
20:44:43,1302122701201000000,-18,434.204000000,37.4279528103545,-122.183071208273,8.04766273498535,-0.0007,0.0121,0.0011,0.0222,-1.6342,-10.6796,27.2853388239405,-0.13773905394945,-0.329679915318276,-0.0011
20:44:44,1302122702201000000,-18,435.204000000,37.4279528606515,-122.183071164501,8.04419326782227,-0.0064,0.0128,0.0051,0.053,-5.8756,-7.5099,27.2868285142079,-0.144328068593454,-0.328419408168988,-0.0051
20:44:45,1302122703201000000,-18,436.204000000,37.427952813689,-122.183071142299,8.0474796295166,-0.0093,0.016,0.0014,-0.0104,2.5033,-8.0965,27.2938185993085,-0.146619899773978,-0.32641405588603,-0.0014
20:44:46,1302122704201000000,-18,437.204000000,37.4279527598119,-122.18307113645,8.05180931091309,-0.0044,0.0045,-0.0001,0.0147,-4.6288,-11.427,27.2980011912129,-0.151547336812103,-0.324007633146481,0.0001
20:44:47,1302122705201000000,-18,438.204000000,37.4279527945108,-122.183071096713,8.05122470855713,0.004,-0.0039,-0.0018,-0.0466,-1.6235,-2.7569,27.313757530579,-0.158594717692212,-0.325783802311386,0.0018
20:44:48,1302122706201000000,-18,439.204000000,37.4279528633155,-122.183071077782,8.04790687561035,0.0083,-0.0107,0.0052,-0.0262,-1.0287,-8.7145,27.3319202926847,-0.161516802447379,-0.325783802311386,-0.0052
20:44:49,1302122707201000000,-18,440.204000000,37.4279528243575,-122.183071095017,8.04948043823242,-0.0032,0.0031,0.0171,0.0007,1.346,-9.9167,27.3511143788216,-0.153667280654087,-0.322403351320114,-0.0171
20:44:50,1302122708201000000,-18,441.204000000,37.4279527573499,-122.183071118019,8.05344581604004,-0.0031,-0.0053,-0.0024,-0.0245,-1.1876,-12.6448,27.36188598537,-0.152865139740904,-0.320741773714235,0.0024
